nohup: ignoring input
timestamp, index, power.draw [W], utilization.gpu [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 04:00:14.100, 1, 126.87 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:00:24.101, 0, 119.23 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:00:24.101, 1, 126.80 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:00:34.101, 0, 119.18 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:00:34.101, 1, 126.88 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:00:44.101, 0, 119.22 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:00:44.101, 1, 126.81 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:00:54.100, 0, 119.14 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:00:54.101, 1, 126.84 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:01:04.101, 0, 119.16 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:01:04.101, 1, 126.82 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:01:14.101, 0, 119.16 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:01:14.101, 1, 126.25 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:01:24.101, 0, 119.21 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:01:24.101, 1, 126.26 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:01:34.100, 0, 119.19 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:01:34.101, 1, 126.68 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:01:44.101, 0, 119.17 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:01:44.101, 1, 126.78 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:01:54.100, 0, 119.15 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:01:54.101, 1, 126.71 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:02:04.100, 0, 119.12 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:02:04.100, 1, 126.76 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:02:14.100, 0, 119.16 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:02:14.100, 1, 126.84 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:02:24.100, 0, 119.18 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:02:24.100, 1, 126.82 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:02:34.100, 0, 119.15 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:02:34.100, 1, 126.82 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:02:44.100, 0, 119.22 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:02:44.100, 1, 126.82 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:02:54.100, 0, 119.16 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:02:54.100, 1, 126.88 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:03:04.100, 0, 119.21 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:03:04.100, 1, 126.83 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:03:14.099, 0, 119.15 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:03:14.100, 1, 126.79 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:03:24.099, 0, 119.18 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:03:24.099, 1, 126.85 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:03:34.099, 0, 119.17 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:03:34.099, 1, 126.88 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:03:44.099, 0, 119.20 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:03:44.099, 1, 126.87 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:03:54.099, 0, 119.18 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:03:54.099, 1, 126.85 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:04:04.100, 0, 119.14 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:04:04.100, 1, 126.80 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:04:14.100, 0, 119.12 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:04:14.101, 1, 126.87 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:04:24.100, 0, 119.12 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:04:24.101, 1, 126.77 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:04:34.101, 0, 119.15 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
