epoch,iso,phase,interval_ms,power.draw,utilization.gpu,utilization.memory,memory.used,clocks.sm,clocks.mem,temperature.gpu
1789867863.64,2026-09-20T01:31:03.640472+00:00,baseline,28.4,658.47,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.669,2026-09-20T01:31:03.668980+00:00,baseline,28.5,658.56,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.698,2026-09-20T01:31:03.698050+00:00,baseline,29.1,658.56,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.727,2026-09-20T01:31:03.727347+00:00,baseline,29.3,658.56,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.756,2026-09-20T01:31:03.756115+00:00,baseline,28.8,658.56,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.785,2026-09-20T01:31:03.785148+00:00,baseline,29.0,658.32,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.814,2026-09-20T01:31:03.814149+00:00,baseline,29.0,658.32,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.843,2026-09-20T01:31:03.842723+00:00,baseline,28.6,658.32,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.871,2026-09-20T01:31:03.871326+00:00,baseline,28.6,658.34,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.901,2026-09-20T01:31:03.900504+00:00,baseline,29.2,658.34,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.929,2026-09-20T01:31:03.928790+00:00,baseline,28.3,658.34,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.957,2026-09-20T01:31:03.957059+00:00,baseline,28.3,658.34,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867863.986,2026-09-20T01:31:03.986012+00:00,baseline,29.0,658.84,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.015,2026-09-20T01:31:04.014744+00:00,baseline,28.7,658.84,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.043,2026-09-20T01:31:04.043132+00:00,baseline,28.4,658.84,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.071,2026-09-20T01:31:04.071454+00:00,baseline,28.3,658.97,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.1,2026-09-20T01:31:04.099846+00:00,baseline,28.4,658.97,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.129,2026-09-20T01:31:04.129273+00:00,baseline,29.4,658.97,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.158,2026-09-20T01:31:04.158004+00:00,baseline,28.7,658.97,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.186,2026-09-20T01:31:04.186102+00:00,baseline,28.1,659.29,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.215,2026-09-20T01:31:04.215107+00:00,baseline,29.0,659.29,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.244,2026-09-20T01:31:04.243854+00:00,baseline,28.7,659.29,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.272,2026-09-20T01:31:04.271981+00:00,baseline,28.1,659.45,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.303,2026-09-20T01:31:04.303132+00:00,baseline,31.2,659.45,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.334,2026-09-20T01:31:04.334327+00:00,baseline,31.2,659.45,99.0,5.0,884.0,1980.0,3201.0,56.0
1789867864.363,2026-09-20T01:31:04.362647+00:00,baseline,28.3,659.22,99.0,5.0,884.0,1980.0,3201.0,56.0
