nohup: ignoring input
timestamp, index, power.draw [W], utilization.gpu [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 04:53:20.807, 0, 120.14 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:53:20.807, 1, 127.61 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 46
2026/09/25 04:53:25.807, 0, 169.02 W, 22 %, 1486 MiB, 1980 MHz, 3201 MHz, 50
2026/09/25 04:53:25.807, 1, 172.02 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 52
2026/09/25 04:53:30.808, 0, 193.57 W, 33 %, 1486 MiB, 1980 MHz, 3201 MHz, 46
2026/09/25 04:53:30.808, 1, 201.94 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 48
2026/09/25 04:53:35.808, 0, 186.59 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:53:35.808, 1, 195.79 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 46
2026/09/25 04:53:40.809, 0, 182.21 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:53:40.809, 1, 190.96 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 46
2026/09/25 04:53:45.810, 0, 182.30 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:53:45.810, 1, 190.05 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:53:50.810, 0, 176.35 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:53:50.811, 1, 185.35 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:53:55.811, 0, 169.82 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:53:55.811, 1, 178.38 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:54:00.812, 0, 163.08 W, 58 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 04:54:00.812, 1, 170.45 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 04:54:05.812, 0, 163.40 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 48
2026/09/25 04:54:05.812, 1, 172.15 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 49
2026/09/25 04:54:10.813, 0, 119.09 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 04:54:10.813, 1, 126.14 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 44
