epoch,iso,phase,interval_ms,power.draw,utilization.gpu,utilization.memory,memory.used,clocks.sm,clocks.mem,temperature.gpu
1785388688.447,2026-07-30T05:18:08.447138+00:00,contended,34.9,830.38,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.48,2026-07-30T05:18:08.480417+00:00,contended,33.3,830.38,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.521,2026-07-30T05:18:08.521050+00:00,contended,40.6,820.63,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.557,2026-07-30T05:18:08.556603+00:00,contended,35.6,820.63,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.59,2026-07-30T05:18:08.590001+00:00,contended,33.4,820.63,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.623,2026-07-30T05:18:08.622545+00:00,contended,32.5,813.06,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.656,2026-07-30T05:18:08.655926+00:00,contended,33.4,813.06,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.688,2026-07-30T05:18:08.688296+00:00,contended,32.4,813.06,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.724,2026-07-30T05:18:08.724344+00:00,contended,36.0,805.76,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.757,2026-07-30T05:18:08.757508+00:00,contended,33.2,805.76,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.797,2026-07-30T05:18:08.796768+00:00,contended,39.3,805.76,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.833,2026-07-30T05:18:08.833048+00:00,contended,36.3,798.95,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.868,2026-07-30T05:18:08.867674+00:00,contended,34.6,798.95,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.906,2026-07-30T05:18:08.906237+00:00,contended,38.6,796.0,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.941,2026-07-30T05:18:08.941368+00:00,contended,35.1,796.0,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388688.977,2026-07-30T05:18:08.976662+00:00,contended,35.3,796.0,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.018,2026-07-30T05:18:09.017939+00:00,contended,41.3,796.86,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.054,2026-07-30T05:18:09.054075+00:00,contended,36.1,796.86,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.086,2026-07-30T05:18:09.086393+00:00,contended,32.3,796.86,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.123,2026-07-30T05:18:09.123002+00:00,contended,36.6,798.91,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.156,2026-07-30T05:18:09.155792+00:00,contended,32.8,798.91,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.189,2026-07-30T05:18:09.189439+00:00,contended,33.6,798.91,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.257,2026-07-30T05:18:09.257239+00:00,contended,67.8,800.62,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.302,2026-07-30T05:18:09.301744+00:00,contended,44.5,800.67,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.349,2026-07-30T05:18:09.349343+00:00,contended,47.6,800.67,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.404,2026-07-30T05:18:09.403585+00:00,contended,54.2,800.67,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.461,2026-07-30T05:18:09.460628+00:00,contended,57.0,797.95,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.535,2026-07-30T05:18:09.534879+00:00,contended,74.3,793.97,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.576,2026-07-30T05:18:09.576055+00:00,contended,41.2,793.97,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.637,2026-07-30T05:18:09.636596+00:00,contended,60.5,794.12,100.0,3.0,1940.0,1965.0,3996.0,65.0
1785388689.671,2026-07-30T05:18:09.671342+00:00,contended,34.7,794.12,100.0,3.0,1940.0,1965.0,3996.0,65.0
